	image_link	full_link	title	desc	beds	price	rating	num of ratings
0	https://a0.muscache.com/im/pictures/miso/Hosting-740634701378172939/original/8ef7a4b0-79b0-439c-9da0-4a170ad4090d.jpeg?im_w=720	https://www.airbnb.co.in/rooms/740634701378172939?adults=2&category_tag=Tag%3A8662&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Farm stay in Cedar City	Zion Kolob Canyon-Farm Stay-cows, goats, alpaca	3 beds	â‚¹13,176 per night, originally â‚¹14,428	5	-10
1	https://a0.muscache.com/im/pictures/f192135e-4df8-4d86-9cda-8e4c72fc5d93.jpg?im_w=720	https://www.airbnb.co.in/rooms/50165906?adults=2&category_tag=Tag%3A8148&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Place to stay in Mesa County	Thimble Rock Point	2 queen beds	â‚¹34,636 per night	4.98	-104
3	https://a0.muscache.com/im/pictures/03794f3e-4756-45f6-9330-31e1ab8e750b.jpg?im_w=720	https://www.airbnb.co.in/rooms/18535409?adults=2&category_tag=Tag%3A7769&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Apartment in Myrtle Beach	Beautiful  1 B/R Ocean Front- Away from the Crowds	2 double beds	â‚¹7,583 per night, originally â‚¹8,257	4.95	-147
4	https://a0.muscache.com/im/pictures/miso/Hosting-17652113/original/a2733b80-f3b1-4e99-a147-c237a1e2f426.jpeg?im_w=720	https://www.airbnb.co.in/rooms/17652113?adults=2&category_tag=Tag%3A5348&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Cabin in Covington	Kilo Cabin  â˜…TVDâ˜… Lakeside Hideout	4 beds	â‚¹20,396 per night	4.94	-297
5	https://a0.muscache.com/im/pictures/miso/Hosting-47007124/original/e8f2a7f7-5ac6-4b9d-b5b9-66b334f21ca0.jpeg?im_w=720	https://www.airbnb.co.in/rooms/47007124?adults=2&category_tag=Tag%3A8226&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Earthen home in Boulder	Handcrafted Earthship Etched into a Mountain	3 beds	â‚¹37,345 per night, originally â‚¹45,624	4.9	-143
6	https://a0.muscache.com/im/pictures/adb80d2e-92c6-41de-8d4e-21c93b3d17ca.jpg?im_w=720	https://www.airbnb.co.in/rooms/26163974?adults=2&category_tag=Tag%3A5348&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Treehouse in Sneads Ferry	Fishing, Privacy, Pool--Just 10 mins to beach/base	2 beds	â‚¹11,531 per night	4.96	-285
7	https://a0.muscache.com/im/pictures/miso/Hosting-51131248/original/2791e195-35fc-4d6e-9de2-6c43db1536a2.jpeg?im_w=720	https://www.airbnb.co.in/rooms/51131248?adults=2&category_tag=Tag%3A4104&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Home in Telluride	Architectural Masterpiece | Best View in Telluride	5 beds	â‚¹83,506 per night, originally â‚¹1,14,253	5	-53
8	https://a0.muscache.com/im/pictures/prohost-api/Hosting-706381619820981565/original/f62cd94b-ead7-4d65-940d-6141562c57c3.jpeg?im_w=720	https://www.airbnb.co.in/rooms/706381619820981565?adults=2&category_tag=Tag%3A8662&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Cabin in Broken Bow	*Brand New OCT 2022* Perfect Couples/Family Cabin	4 beds	â‚¹32,697 per night	4.4	-5
9	https://a0.muscache.com/im/pictures/0886e99b-bde3-4c45-b6c2-f122da787eb4.jpg?im_w=720	https://www.airbnb.co.in/rooms/40803389?adults=2&category_tag=Tag%3A7765&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Cabin in Idaho Springs	Charming Cabin Home W/ Mountain View, Spa & Sauna	2 beds	â‚¹35,712 per night, originally â‚¹43,378	4.84	-233
10	https://a0.muscache.com/im/pictures/0510a628-3851-43bd-a3d2-34827d680c02.jpg?im_w=720	https://www.airbnb.co.in/rooms/44616806?adults=2&category_tag=Tag%3A8148&check_in=2022-12-15&check_out=2022-12-18&previous_page_section_name=1000	Cabin in Garden Valley	RÃ¶ra Haus - A Modern, Mountain A-frame	3 beds	â‚¹19,177 per night	4.93	-136
