	Product_title	sub_title	price	colors	product_link
0	Nike Sportswear	Men's Dri-FIT Top	MRP : â‚¹ 4 495	1 Colour	https://www.nike.com/in/t/sportswear-dri-fit-top-S7fNsX/DX3638-126
1	Nike Sportswear	Men's Dri-FIT Shorts	MRP : â‚¹ 3 295	1 Colour	https://www.nike.com/in/t/sportswear-dri-fit-shorts-lF9mJW/DX3651-126
2	Nike Sportswear Air	Men's French Terry Crew	MRP : â‚¹ 4 495	4 Colours	https://www.nike.com/in/t/sportswear-air-french-terry-crew-QWbgkk/DQ4206-217
3	Nike Sportswear Air	Men's French Terry Trousers	MRP : â‚¹ 4 495	4 Colours	https://www.nike.com/in/t/sportswear-air-french-terry-trousers-mktSJT/DQ4203-217
4	Nike ACG Therma-FIT 'Wolf Tree'	Men's Pullover Hoodie	MRP : â‚¹ 8 995	1 Colour	https://www.nike.com/in/t/acg-wolf-tree-pullover-hoodie-PBMmLd/DQ5780-087
5	Nike Dri-FIT ACG 'Goat Rocks'	Men's Long-Sleeve Top	MRP : â‚¹ 3 095	1 Colour	https://www.nike.com/in/t/dri-fit-acg-goat-rocks-long-sleeve-top-0x7vfF/DO9270-087
6	Nike Sportswear Premium Essentials	Men's T-Shirt	MRP : â‚¹ 2 495	6 Colours	https://www.nike.com/in/t/sportswear-essentials-t-shirt-K9vnhV/DO7393-010
7	Nike Pro Dri-FIT	Men's Shorts	MRP : â‚¹ 1 495	2 Colours	https://www.nike.com/in/t/pro-dri-fit-shorts-8jxLsr/DD1918-010
8	Nike ESC	Men's Lightweight Jacket	MRP : â‚¹ 26 995	1 Colour	https://www.nike.com/in/t/esc-lightweight-jacket-ZgMQFp/DN4094-010
9	Liverpool F.C. 2022/23 Match Home	Men's Nike Dri-FIT ADV Football Shirt	MRP : â‚¹ 7 995	1 Colour	https://www.nike.com/in/t/liverpool-fc-2022-23-match-home-dri-fit-adv-football-shirt-7SPRhx/DJ7647-609
10	Liverpool F.C. 2022/23 Stadium Home	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/liverpool-fc-2022-23-stadium-home-dri-fit-football-shirt-XhnBrv/DM1843-609
11	Nike Sportswear	Men's Unlined Utility Cargo Trousers	MRP : â‚¹ 3 695	3 Colours	https://www.nike.com/in/t/sportswear-unlined-utility-cargo-trousers-HR5W9B/DD5208-010
12	Nike Dri-FIT Miler	Men's Running Top	MRP : â‚¹ 1 695	3 Colours	https://www.nike.com/in/t/dri-fit-miler-running-top-gJH4Zt/CU5993-100
13	Nike Sportswear Club	Men's T-Shirt	MRP : â‚¹ 1 295	3 Colours	https://www.nike.com/in/t/sportswear-club-t-shirt-K8nM0q/AR4999-570
14	Nike Sportswear Tech Fleece	Men's Joggers	MRP : â‚¹ 5 495	1 Colour	https://www.nike.com/in/t/sportswear-tech-fleece-joggers-h1ntxv/CU4496-722
15	Nike Pro Dri-FIT	Men's Short-Sleeve Top	MRP : â‚¹ 1 995	6 Colours	https://www.nike.com/in/t/pro-dri-fit-short-sleeve-top-xrfWkz/CZ1182-492
16	Nike Dri-FIT Superset	Men's Short-Sleeve Training Top	MRP : â‚¹ 1 695	2 Colours	https://www.nike.com/in/t/dri-fit-superset-short-sleeve-training-top-hCQdMj/CZ1220-369
17	Jordan Flight Essentials	Men's Oversized T-Shirt	MRP : â‚¹ 2 495	1 Colour	https://www.nike.com/in/t/jordan-flight-essentials-oversized-t-shirt-C7XVkQ/DZ7313-010
18	Paris Saint-Germain	Men's Woven Jacket	MRP : â‚¹ 5 495	1 Colour	https://www.nike.com/in/t/paris-saint-germain-woven-jacket-2J62xG/DM3104-010
19	Jordan x J Balvin	Men's Crew	MRP : â‚¹ 5 995	1 Colour	https://www.nike.com/in/t/jordan-j-balvin-crew-55MbpG/DR3102-316
20	Nike Dri-FIT UV	Men's Slim-Fit Golf Chino Trousers	MRP : â‚¹ 3 995	1 Colour	https://www.nike.com/in/t/dri-fit-uv-slim-fit-golf-chino-trousers-plM88f/DA4131-451
21	Jordan Flight Heritage 85	Men's T-Shirt	MRP : â‚¹ 2 695	2 Colours	https://www.nike.com/in/t/jordan-flight-heritage-85-t-shirt-Z4Wgfb/DV3072-045
22	Giannis Nike Dri-FIT	Men's Basketball T-Shirt	MRP : â‚¹ 2 195	1 Colour	https://www.nike.com/in/t/giannis-dri-fit-basketball-t-shirt-vsZvm1/DR7646-010
23	Nike Dri-FIT Wild Run	Running T-Shirt	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/dri-fit-wild-run-running-t-shirt-BTcN2n/DM5436-455
24	Golden State Warriors Icon Edition 2022/23	Nike Dri-FIT NBA Swingman Jersey	MRP : â‚¹ 5 995	1 Colour	https://www.nike.com/in/t/golden-state-warriors-icon-edition-2022-23-dri-fit-nba-swingman-jersey-4WhBSn/DN2005-401
25	Nike Everyday Lightweight	Training Ankle Socks (3 Pairs)	MRP : â‚¹ 595	2 Colours	https://www.nike.com/in/t/everyday-lightweight-training-ankle-socks-ShtJfk/SX7677-100
26	Nike Yoga Dri-FIT	Men's Shorts	MRP : â‚¹ 2 995	1 Colour	https://www.nike.com/in/t/yoga-dri-fit-shorts-vbr4mK/CZ2236-070
27	Air Jordan Wordmark	Men's Fleece Hoodie	MRP : â‚¹ 5 695	4 Colours	https://www.nike.com/in/launch/r/DV6463-645
28	Nike Everyday Plus	Lightweight Ankle Split-Toe Socks	MRP : â‚¹ 1 095	1 Colour	https://www.nike.com/in/t/everyday-plus-lightweight-ankle-split-toe-socks-3w224x/DV9475-100
29	Nike Dri-FIT	Men's 23cm (approx.) Woven Training Shorts	MRP : â‚¹ 1 795	3 Colours	https://www.nike.com/in/t/dri-fit-woven-training-shorts-5f0FNk/DM6618-010
30	Nike	Men's 2-in-1 Shorts	MRP : â‚¹ 3 495	1 Colour	https://www.nike.com/in/t/2-in-1-shorts-ScqnT4/DC5321-010
31	Nike Dri-FIT Fleece	Men's Full-Zip Camo Fitness Hoodie	MRP : â‚¹ 3 995	1 Colour	https://www.nike.com/in/t/dri-fit-fleece-camo-fitness-hoodie-tVwCBs/DQ4791-010
32	Nike ACG "Insects"	Men's Long-Sleeve T-Shirt	MRP : â‚¹ 2 895	1 Colour	https://www.nike.com/in/t/acg-insects-long-sleeve-t-shirt-f0LDLr/DR7760-121
33	Nike Everyday Lightweight	Training Crew Socks (3 Pairs)	MRP : â‚¹ 595	2 Colours	https://www.nike.com/in/t/everyday-lightweight-training-crew-socks-Gvl3WS/SX7676-100
34	Jordan Flight Heritage	Men's Hoodie	MRP : â‚¹ 8 995	1 Colour	https://www.nike.com/in/t/jordan-flight-heritage-hoodie-8W9tmj/DV1595-045
35	Nigeria	Men's Nike Ignite T-Shirt	MRP : â‚¹ 2 195	1 Colour	https://www.nike.com/in/t/nigeria-ignite-t-shirt-h7gp0l/DM5656-302
36	Jordan Dri-FIT Zion	Men's Hoodie	MRP : â‚¹ 4 495	1 Colour	https://www.nike.com/in/t/jordan-dri-fit-zion-hoodie-Bmzc5H/DV5625-084
37	Nike Dri-FIT	Men's Basketball Shorts	MRP : â‚¹ 1 795	1 Colour	https://www.nike.com/in/t/dri-fit-basketball-shorts-R8xVVG/DH6764-886
38	Jordan Flight MVP 85	Men's Statement T-Shirt	MRP : â‚¹ 2 695	1 Colour	https://www.nike.com/in/t/jordan-flight-mvp-85-statement-t-shirt-gtppSt/DQ7362-010
39	Nike Forward Hoodie	Men's Hoodie	MRP : â‚¹ 8 995	2 Colours	https://www.nike.com/in/t/forward-hoodie-hoodie-qKbJFt/DX4303-077
40	Nike Dri-FIT Player	Men's Printed Golf Polo	MRP : â‚¹ 3 295	1 Colour	https://www.nike.com/in/t/dri-fit-player-printed-golf-polo-C06fcT/DH0646-370
41	Nike ACG PolartecÂ® 'Wolf Tree'	Men's Trousers	MRP : â‚¹ 7 495	1 Colour	https://www.nike.com/in/t/acg-polartec-wolf-tree-trousers-zVgVB1/CV0659-004
42	Nike Challenger	Men's Running Shorts	MRP : â‚¹ 1 595	1 Colour	https://www.nike.com/in/t/challenger-running-shorts-PZlXP2/CZ9069-010
43	Jordan Sport Dri-FIT	Men's Mesh Shorts	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/jordan-sport-dri-fit-mesh-shorts-DT6bNk/DH9077-010
44	Jordan x Two 18	Men's Hoodie	MRP : â‚¹ 5 995	1 Colour	https://www.nike.com/in/t/jordan-two-18-hoodie-kvD5DX/DV6960-258
45	Nike SB Kearny	Skate Cargo Trousers	MRP : â‚¹ 4 995	2 Colours	https://www.nike.com/in/t/sb-kearny-skate-cargo-trousers-5S7p6d/DQ6290-010
46	Jordan Dri-FIT Sport	Men's Full-Zip Hoodie	MRP : â‚¹ 5 495	2 Colours	https://www.nike.com/in/t/jordan-dri-fit-sport-hoodie-4xncvC/DQ7323-091
47	Jordan Brand Sorry	Men's T-Shirt	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/jordan-brand-sorry-t-shirt-dlWtwL/DQ7388-010
48	Jordan x Wordmark	Men's T-Shirt	MRP : â‚¹ 2 895	5 Colours	https://www.nike.com/in/t/jordan-wordmark-t-shirt-WDwh2Z/DV6465-411
49	Croatia 2022/23 Stadium Home	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/croatia-2022-23-stadium-home-dri-fit-football-shirt-JV9GpR/DN0684-100
50	Nike Dri-FIT Victory	Men's Slim-Fit Golf Polo	MRP : â‚¹ 2 295	3 Colours	https://www.nike.com/in/t/dri-fit-victory-slim-fit-golf-polo-nJtSCN/DH0827-451
51	Paris Saint-Germain 2022/23 Stadium Away	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/paris-saint-germain-2022-23-stadium-away-dri-fit-football-shirt-F9BhXm/DJ7682-078
52	Brazil Strike	Men's Nike Dri-FIT Knit Football Shorts	MRP : â‚¹ 2 495	1 Colour	https://www.nike.com/in/t/brazil-strike-dri-fit-knit-football-shorts-SfJd5K/DH6466-490
53	Paris Saint-Germain	Men's Woven Pants	MRP : â‚¹ 4 295	1 Colour	https://www.nike.com/in/t/paris-saint-germain-woven-pants-CDNrgB/DM3106-010
54	Brooklyn Nets Icon Edition 2022/23	Nike Dri-FIT NBA Swingman Jersey	MRP : â‚¹ 5 995	2 Colours	https://www.nike.com/in/t/brooklyn-nets-icon-edition-2022-23-dri-fit-nba-swingman-jersey-F1K2jL/DN1996-011
55	Jordan 23 Engineered	Men's Woven Trousers	MRP : â‚¹ 4 095	2 Colours	https://www.nike.com/in/t/jordan-23-engineered-woven-trousers-c2K82D/DQ8066-010
56	Nike Dri-FIT Standard Issue	Men's Reversible Basketball Jersey	MRP : â‚¹ 2 895	2 Colours	https://www.nike.com/in/t/dri-fit-standard-issue-reversible-basketball-jersey-fxsh1s/DQ5732-010
57	NikeCourt Dri-FIT	Men's Tennis Polo	MRP : â‚¹ 1 895	4 Colours	https://www.nike.com/in/t/nikecourt-dri-fit-tennis-polo-xQtSz0/DH0858-451
58	Nike Dri-FIT	Men's Golf Shorts	MRP : â‚¹ 3 295	1 Colour	https://www.nike.com/in/t/dri-fit-golf-shorts-QNrCtG/CU9741-003
59	Nike Solo Swoosh	Men's T-Shirt	MRP : â‚¹ 2 195	6 Colours	https://www.nike.com/in/t/solo-swoosh-t-shirt-2CFK7L/DA0321-441
60	Nike Dri-FIT Challenger	Men's Woven Running Trousers	MRP : â‚¹ 3 495	1 Colour	https://www.nike.com/in/t/dri-fit-challenger-woven-running-trousers-WlV1Nq/DD4895-010
61	Jordan Essentials	Men's Woven Shorts	MRP : â‚¹ 2 495	2 Colours	https://www.nike.com/in/t/jordan-essentials-woven-shorts-dkWZFk/DQ7354-010
62	Nike Multiplier	Running Ankle Socks (2 Pairs)	MRP : â‚¹ 895	2 Colours	https://www.nike.com/in/t/multiplier-running-ankle-socks-mLLjFH/SX7556-010
63	Nike Pro Dri-FIT	Men's Tight-Fit Long-Sleeve Top	MRP : â‚¹ 1 795	2 Colours	https://www.nike.com/in/t/pro-dri-fit-tight-fit-long-sleeve-top-6HR6qX/DD1991-010
64	Nike Dri-FIT Academy	Men's Knit Football Shorts	MRP : â‚¹ 995	3 Colours	https://www.nike.com/in/t/dri-fit-academy-knit-football-shorts-Tp19Bs/CW6108-010
65	Chelsea F.C. 2022/23 Stadium Away	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/chelsea-fc-2022-23-stadium-away-dri-fit-football-shirt-MtFLBB/DM1834-101
66	Nike Dri-FIT	Men's Woven Team Training Trousers	MRP : â‚¹ 2 795	2 Colours	https://www.nike.com/in/t/dri-fit-woven-team-training-trousers-92wzsp/DM6627-010
67	Brazil 2022/23 Stadium Away	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/brazil-2022-23-stadium-away-dri-fit-football-shirt-6ctwds/DN0678-433
68	Zion Sneaker School	T-Shirt	MRP : â‚¹ 2 195	2 Colours	https://www.nike.com/in/t/zion-sneaker-school-t-shirt-NXqdvf/DV5631-010
69	Nike	Men's Basketball T-Shirt	MRP : â‚¹ 1 795	1 Colour	https://www.nike.com/in/t/basketball-t-shirt-QXcPP7/DV1215-010
70	Netherlands 2022/23 Stadium Home	Men's Nike Dri-FIT Football Shirt	MRP : â‚¹ 4 695	1 Colour	https://www.nike.com/in/t/netherlands-2022-23-stadium-home-dri-fit-football-shirt-9kPfp4/DN0694-845
71	Nike Phenom Elite	Men's Woven Running Trousers	MRP : â‚¹ 4 295	1 Colour	https://www.nike.com/in/t/phenom-elite-woven-running-trousers-rgtqhP/CU5513-010
72	Jordan Jumpman	Men's Short-Sleeve T-Shirt	MRP : â‚¹ 1 595	4 Colours	https://www.nike.com/in/t/jordan-jumpman-short-sleeve-t-shirt-df6fwF/DC7485-493
73	Nike Everyday Crew	Basketball Socks (3 Pairs)	MRP : â‚¹ 1 095	2 Colours	https://www.nike.com/in/t/everyday-crew-basketball-socks-t6mW9X/DA2123-100
74	Nike Everyday Lightweight	Training Low Socks (3 Pairs)	MRP : â‚¹ 595	2 Colours	https://www.nike.com/in/t/everyday-lightweight-training-low-socks-kr00vR/SX7803-010
75	Jordan Flight Heritage '85	Men's T-Shirt	MRP : â‚¹ 2 695	1 Colour	https://www.nike.com/in/t/jordan-flight-heritage-85-t-shirt-tmrT4w/DM1444-010
